,0,1,2,target
1025,203,18,221,67.11229946524064
1030,226,0,229,67.80748663101605
1031,228,10,228,68.39572192513369
1032,227,27,226,69.14438502673796
1033,224,25,223,68.71657754010695
1034,229,21,229,69.0909090909091
1035,229,23,230,69.25133689839572
1036,223,19,227,68.55614973262033
1040,216,26,212,67.75401069518716
1041,227,16,223,68.39572192513369
1042,228,0,224,67.6470588235294
1043,220,13,217,67.54010695187166
1044,219,26,216,68.1283422459893
1045,224,21,223,68.50267379679144
1046,222,5,223,67.54010695187166
1047,212,7,212,66.524064171123
1048,220,12,222,67.75401069518716
1054,213,15,216,67.2192513368984
1055,207,27,209,67.16577540106952
1056,200,13,198,65.45454545454545
1057,192,5,189,64.11764705882354
1058,192,16,191,64.81283422459893
1059,197,0,196,64.49197860962568
1060,198,2,199,64.81283422459893
1061,195,21,198,65.61497326203208
1062,196,5,200,64.91978609625669
1067,211,25,215,67.59358288770053
1070,212,6,214,66.57754010695187
1071,198,20,201,65.88235294117646
1072,194,19,195,65.29411764705883
1073,193,5,196,64.54545454545455
1074,199,16,200,65.66844919786097
1075,205,24,206,66.7379679144385
1080,218,20,218,67.86096256684492
1081,215,11,215,67.05882352941177
1082,214,12,217,67.16577540106952
1083,215,2,218,66.7379679144385
1084,219,8,224,67.59358288770053
1085,221,14,226,68.1283422459893
1086,218,4,225,67.37967914438502
1087,215,2,222,66.95187165775401
1088,216,6,226,67.43315508021391
1089,212,19,222,67.70053475935829
1090,214,11,222,67.37967914438502
1094,205,4,219,66.36363636363636
1095,191,9,209,65.3475935828877
1096,192,18,213,66.09625668449198
1101,197,7,218,66.0427807486631
1102,198,3,216,65.77540106951872
1103,199,4,219,66.0427807486631
1104,195,15,216,66.2566844919786
1105,200,15,220,66.7379679144385
1110,223,11,227,68.1283422459893
1111,221,0,224,67.27272727272728
1112,221,14,222,67.9144385026738
1113,221,13,221,67.80748663101605
1114,227,18,228,68.77005347593582
1115,230,19,231,69.14438502673796
1116,225,7,228,68.07486631016043
1121,219,5,214,66.89839572192514
1122,216,9,211,66.79144385026738
1123,218,3,213,66.68449197860963
1126,213,14,213,67.00534759358288
